processing,quantity,backend,reference,distance_km,component,unit,time_start_s,time_end_s,dt_s,samples_per_component,relative_l2_percent,paper_energy_misfit,correlation_pearson_no_shift,peak_abs,reference_peak_abs,peak_ratio,max_abs_difference,rms_difference
raw,disp,qseis06,spgrn2020,300.0,East,m,0.0,400.0,0.25,1601,39.35717416808391,0.15489871584968912,0.9267116963939788,1.7981979926381297e-05,2.617031104740955e-05,0.6871137256949504,1.1714409673514023e-05,6.757830468791617e-07
raw,disp,qseis06,spgrn2020,300.0,North,m,0.0,400.0,0.25,1601,22.79420774443146,0.05195759066962991,0.9819151670251013,2.604519990655234e-05,3.057569037745363e-05,0.8518270424977207,7.689331592350598e-06,6.490686780723121e-07
raw,disp,qseis06,spgrn2020,300.0,Up,m,0.0,400.0,0.25,1601,36.16220841758647,0.13077053176369616,0.94107702508624,5.720046949614035e-05,9.014476279598402e-05,0.6345401299196569,3.477416183649548e-05,2.5886754952892732e-06
raw,disp,qseis06,spgrn2020,300.0,all_components,m,0.0,400.0,0.25,1601,34.879075424928615,0.12165499024978589,0.9458635586612861,5.720046949614035e-05,9.014476279598402e-05,0.6345401299196569,3.477416183649548e-05,1.5894667549438277e-06
raw,disp,qseis06,spgrn2020,600.0,East,m,0.0,400.0,0.25,1601,44.76916834280073,0.2004278434106031,0.8983919984809954,5.787121359310811e-06,6.802973620541636e-06,0.8506752608648298,5.377577203758719e-06,4.047497716938314e-07
raw,disp,qseis06,spgrn2020,600.0,North,m,0.0,400.0,0.25,1601,21.58655405855664,0.04659793161229881,0.9848008273117035,1.0885500280590382e-05,1.3226644372000243e-05,0.8229978802207853,3.988444196954736e-06,3.964069991817955e-07
raw,disp,qseis06,spgrn2020,600.0,Up,m,0.0,400.0,0.25,1601,30.386499286411034,0.09233393388830582,0.963483218806362,3.061781318699873e-05,5.0875919572199884e-05,0.6018134599719199,2.0258106385201153e-05,1.420241913364542e-06
raw,disp,qseis06,spgrn2020,600.0,all_components,m,0.0,400.0,0.25,1601,29.967234260486038,0.08980351292228479,0.9642346269251821,3.061781318699873e-05,5.0875919572199884e-05,0.6018134599719199,2.0258106385201153e-05,8.828076383833381e-07
raw,disp,qseis06,spgrn2020,900.0,East,m,0.0,400.0,0.25,1601,35.939351327365884,0.12916369738318362,0.9401708323858458,4.154264157313244e-06,5.4067310569255066e-06,0.7683504345924564,3.0880342039603698e-06,2.4471831247714975e-07
raw,disp,qseis06,spgrn2020,900.0,North,m,0.0,400.0,0.25,1601,19.969171638269774,0.0398767815918678,0.9877500643498623,8.376282163829263e-06,9.20312035989363e-06,0.9101567551297434,2.3696578817073364e-06,2.7974181608920513e-07
