processing,view,quantity,backend,reference,distance_km,component,unit,time_start_s,time_end_s,dt_s,samples_per_component,relative_l2_percent,paper_energy_misfit,correlation_pearson_no_shift,peak_abs,reference_peak_abs,peak_ratio,max_abs_difference,rms_difference
raw,full,disp,qseis06,spgrn2020,300.0,East,m,0.0,400.0,0.25,1601,3.7683851893105946,0.001420072693501545,0.9993071261141575,2.6599969954823563e-05,2.617031104740955e-05,1.01641779903325,1.3150128684609094e-06,6.470512375128181e-08
raw,full,disp,qseis06,spgrn2020,300.0,North,m,0.0,400.0,0.25,1601,3.6775972695955943,0.0013524721677336971,0.9993905068656646,3.0968935526309956e-05,3.057569037745363e-05,1.0128613661376655,1.1963538123401742e-06,1.0472016509728862e-07
raw,full,disp,qseis06,spgrn2020,300.0,Up,m,0.0,400.0,0.25,1601,3.8787158029826436,0.0015044436280307295,0.9992666208726607,9.138583614816313e-05,9.014476279598402e-05,1.013767559131393,3.8683200268073455e-06,2.7765827895315703e-07
raw,full,disp,qseis06,spgrn2020,300.0,all_components,m,0.0,400.0,0.25,1601,3.847950274959093,0.0014806721318557758,0.9992811478259559,9.138583614816313e-05,9.014476279598402e-05,1.013767559131393,3.8683200268073455e-06,1.7535410449421218e-07
raw,full,disp,qseis06,spgrn2020,600.0,East,m,0.0,400.0,0.25,1601,8.76890832258917,0.007689375316997361,0.9962649521074781,6.513919890251941e-06,6.802973620541636e-06,0.9575106789453226,8.832464997252331e-07,7.927807848462855e-08
raw,full,disp,qseis06,spgrn2020,600.0,North,m,0.0,400.0,0.25,1601,6.961881621867545,0.0048467795716897084,0.9976908344730061,1.3376820495983014e-05,1.3226644372000243e-05,1.0113540607699925,1.0929682827052628e-06,1.2784525936363982e-07
raw,full,disp,qseis06,spgrn2020,600.0,Up,m,0.0,400.0,0.25,1601,7.326007920185158,0.005367039204661567,0.9973568271709782,5.1256799533536754e-05,5.0875919572199884e-05,1.007486448688094,3.932721731736113e-06,3.4241204976647585e-07
raw,full,disp,qseis06,spgrn2020,600.0,all_components,m,0.0,400.0,0.25,1601,7.329775613119008,0.005372561053867412,0.9973626064332521,5.1256799533536754e-05,5.0875919572199884e-05,1.007486448688094,3.932721731736113e-06,2.1592856526735167e-07
raw,full,disp,qseis06,spgrn2020,900.0,East,m,0.0,400.0,0.25,1601,12.296315833873935,0.015119938308637887,0.9927351023144914,5.595150350972427e-06,5.4067310569255066e-06,1.0348490228315634,7.773082927288272e-07,8.372810163271903e-08
raw,full,disp,qseis06,spgrn2020,900.0,North,m,0.0,400.0,0.25,1601,10.130793079697224,0.010263296842364118,0.9950482855381579,9.270183824778239e-06,9.20312035989363e-06,1.0072870355120929,1.132614068569373e-06,1.4191907936267331e-07
